"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
0.000000000E0,6.222212640E1,2.577021450E1,9.409076027E1,NaN,NaN,1.449899960E1,1.301028490E0
5.869834930E-1,6.222225500E1,2.577027500E1,8.929083966E1,3.088333411E-3,2.064499969E2,2.000000000E0,2.589999962E1
1.086983493E0,6.222225333E1,2.577027500E1,8.939083867E1,1.389750000E-2,1.326699982E2,2.000000000E0,1.729999924E1
1.607983493E0,6.222225500E1,2.577027500E1,8.939083966E1,8.184083551E-2,6.443000031E1,2.000000000E0,1.770000076E1
2.107983493E0,6.222225167E1,2.577027667E1,8.959083780E1,1.734613925E-1,5.570000076E1,1.899999976E0,1.739999962E1
2.607983493E0,6.222225000E1,2.577028000E1,8.979083705E1,5.811213851E-1,6.263999939E1,1.799999952E0,1.810000038E1
3.107983493E0,6.222224667E1,2.577028833E1,8.989083568E1,8.611302972E-1,5.852000046E1,1.700000048E0,1.779999924E1
4.107983493E0,6.222224667E1,2.577030000E1,8.969083654E1,1.142683387E0,4.165000153E1,1.700000048E0,1.820000076E1
5.107983493E0,6.222225167E1,2.577032167E1,9.029084110E1,1.175110817E0,4.345999908E1,1.700000048E0,1.829999924E1
6.107983493E0,6.222225833E1,2.577034000E1,9.119084641E1,9.774575233E-1,4.481000137E1,1.899999976E0,1.860000038E1
7.107983493E0,6.222226000E1,2.577036167E1,9.139084899E1,1.121579766E0,5.665999985E1,1.899999976E0,1.789999962E1
8.107983493E0,6.222226333E1,2.577039667E1,9.249085353E1,1.225038886E0,6.154999924E1,2.000000000E0,1.839999962E1
9.107983493E0,6.222227167E1,2.577041833E1,9.429086008E1,9.486330748E-1,7.009999847E1,2.000000000E0,1.860000038E1
1.010798349E1,6.222228167E1,2.577042167E1,9.519086627E1,1.008340836E0,4.800999832E1,1.899999976E0,1.860000038E1
1.110798349E1,6.222229333E1,2.577041167E1,9.549087247E1,9.898108244E-1,8.280999756E1,1.899999976E0,1.750000000E1
1.210798349E1,6.222230000E1,2.577040667E1,9.499087607E1,9.913550019E-1,7.718000031E1,1.799999952E0,1.550000000E1
1.310798349E1,6.222230667E1,2.577041667E1,9.459088077E1,1.229156613E0,6.381000137E1,1.700000048E0,1.439999962E1
1.410798349E1,6.222231333E1,2.577044667E1,9.389088693E1,1.069078088E0,6.716999817E1,1.600000024E0,1.410000038E1
1.510798349E1,6.222231833E1,2.577047000E1,9.359089161E1,1.058783650E0,6.565000153E1,1.600000024E0,1.439999962E1
1.610798349E1,6.222232500E1,2.577049333E1,9.349089729E1,1.180258036E0,7.090000153E1,1.600000024E0,1.450000000E1
1.710798349E1,6.222233000E1,2.577051833E1,9.379090209E1,1.188493609E0,6.163999939E1,1.600000024E0,1.480000019E1
1.810798349E1,6.222233833E1,2.577054000E1,9.399090864E1,1.237906933E0,6.483000183E1,1.600000024E0,1.410000038E1
1.910798349E1,6.222235000E1,2.577056500E1,9.399091741E1,1.020694137E0,6.569000244E1,1.600000024E0,1.389999962E1
2.010798349E1,6.222235667E1,2.577059000E1,9.419092320E1,1.146286368E0,7.437000275E1,1.600000024E0,1.339999962E1
2.110798349E1,6.222236333E1,2.577061333E1,9.409092888E1,1.156066060E0,7.408000183E1,1.600000024E0,1.300000000E1
2.210798349E1,6.222236833E1,2.577063667E1,9.379093356E1,1.171507835E0,7.984999847E1,1.600000024E0,1.300000000E1
2.310798349E1,6.222237500E1,2.577066000E1,9.409093923E1,1.147315860E0,7.330999756E1,1.600000024E0,1.330000019E1
2.410798349E1,6.222237667E1,2.577067667E1,9.419094145E1,1.122609138E0,8.188999939E1,1.600000024E0,1.350000000E1
2.510798349E1,6.222238333E1,2.577069833E1,9.409094700E1,1.127241611E0,7.694999695E1,1.600000024E0,1.380000019E1
2.610798349E1,6.222239000E1,2.577071833E1,9.379095243E1,1.129815221E0,6.984999847E1,1.600000024E0,1.369999981E1
2.710798349E1,6.222239500E1,2.577073833E1,9.359095687E1,1.139595032E0,7.944000244E1,1.600000024E0,1.369999981E1
2.810798349E1,6.222240000E1,2.577076167E1,9.319096155E1,1.136506677E0,6.811000061E1,1.500000000E0,1.350000000E1
2.910798349E1,6.222240333E1,2.577078333E1,9.299096512E1,1.123638630E0,6.366999817E1,1.500000000E0,1.339999962E1
3.010798349E1,6.222241000E1,2.577080167E1,9.299097042E1,1.101505518E0,7.304000092E1,1.600000024E0,1.310000038E1
3.110798349E1,6.222241333E1,2.577082000E1,9.289097375E1,1.086063862E0,7.937999725E1,1.600000024E0,1.230000019E1
3.210798349E1,6.222241167E1,2.577083667E1,9.279097398E1,1.070622206E0,6.998000336E1,1.600000024E0,1.150000000E1
3.310798349E1,6.222241500E1,2.577085000E1,9.259097694E1,1.065989733E0,6.356999969E1,1.500000000E0,1.100000000E1
3.410798349E1,6.222241833E1,2.577086167E1,9.249097978E1,1.070107460E0,5.013000107E1,1.500000000E0,1.110000038E1
3.510798349E1,6.222242167E1,2.577087667E1,9.229098286E1,1.054665804E0,7.248999786E1,1.500000000E0,1.089999962E1
3.610798349E1,6.222242667E1,2.577089333E1,9.219098705E1,1.028929710E0,5.731000137E1,1.600000024E0,1.119999981E1
3.710798349E1,6.222243000E1,2.577091333E1,9.199099050E1,1.003708363E0,5.845999908E1,1.500000000E0,1.119999981E1
3.810798349E1,6.222243333E1,2.577093167E1,9.179099382E1,9.723103046E-1,5.975999832E1,1.600000024E0,1.089999962E1
3.910798349E1,6.222243833E1,2.577095167E1,9.189099826E1,9.625305533E-1,7.469999695E1,1.500000000E0,1.039999962E1
4.010798349E1,6.222244167E1,2.577097667E1,9.199100207E1,9.671630263E-1,8.648000336E1,1.600000024E0,1.050000000E1
4.110798349E1,6.222244000E1,2.577100000E1,9.169100279E1,9.954727888E-1,6.912999725E1,1.600000024E0,1.039999962E1
4.210798349E1,6.222244500E1,2.577102000E1,9.169100723E1,1.003708363E0,7.348999786E1,1.600000024E0,1.060000038E1
4.310798349E1,6.222244833E1,2.577103667E1,9.169101043E1,1.015032172E0,7.248999786E1,1.600000024E0,1.080000019E1
4.410798349E1,6.222245333E1,2.577105833E1,9.149101499E1,1.032018065E0,7.011000061E1,1.600000024E0,1.089999962E1
4.510798349E1,6.222246000E1,2.577108333E1,9.179102079E1,1.044371367E0,6.759999847E1,1.600000024E0,1.060000038E1
4.610798349E1,6.222246167E1,2.577110500E1,9.169102337E1,1.069592834E0,7.423999786E1,1.600000024E0,1.039999962E1
4.710798349E1,6.222246667E1,2.577112667E1,9.159102793E1,1.088122725E0,7.197000122E1,1.600000024E0,1.030000019E1
4.810798349E1,6.222247000E1,2.577114667E1,9.159103137E1,1.121065021E0,6.962999725E1,1.600000024E0,1.010000038E1
4.910798349E1,6.222247333E1,2.577116333E1,9.189103457E1,1.127241611E0,6.519000244E1,1.500000000E0,1.010000038E1
5.010798349E1,6.222248167E1,2.577117833E1,9.219104063E1,1.134447813E0,5.831999969E1,1.500000000E0,1.030000019E1
5.110798349E1,6.222248833E1,2.577119667E1,9.249104593E1,1.135477185E0,5.450999832E1,1.500000000E0,1.030000019E1
5.210798349E1,6.222249500E1,2.577121333E1,9.269105112E1,1.157095551E0,4.936999893E1,1.500000000E0,1.039999962E1
5.310798349E1,6.222250167E1,2.577122833E1,9.319105618E1,1.160698652E0,6.770999908E1,1.500000000E0,1.060000038E1
5.410798349E1,6.222250667E1,2.577124667E1,9.339106049E1,1.180258036E0,6.361999893E1,1.500000000E0,1.050000000E1
5.510798349E1,6.222251167E1,2.577126500E1,9.369106481E1,1.204964757E0,6.106000137E1,1.600000024E0,1.080000019E1
5.610798349E1,6.222251833E1,2.577128500E1,9.399107024E1,1.198788047E0,7.306999969E1,1.600000024E0,1.100000000E1
5.710798349E1,6.222252167E1,2.577130000E1,9.419107332E1,1.202391148E0,7.291000366E1,1.600000024E0,1.100000000E1
5.810798349E1,6.222252667E1,2.577130833E1,9.449107690E1,1.193126082E0,6.136999893E1,1.700000048E0,1.100000000E1
5.910798349E1,6.222253333E1,2.577132000E1,9.469108172E1,1.205479503E0,6.206000137E1,1.700000048E0,1.080000019E1
6.010798349E1,6.222254000E1,2.577133167E1,9.529108653E1,1.208053112E0,6.966999817E1,1.799999952E0,1.069999981E1
6.110798349E1,6.222254500E1,2.577135167E1,9.519109097E1,1.201361656E0,6.358000183E1,1.799999952E0,1.069999981E1
6.210798349E1,6.222255167E1,2.577137000E1,9.549109627E1,1.187978864E0,6.706999969E1,1.799999952E0,1.100000000E1
6.310798349E1,6.222255833E1,2.577139333E1,9.549110195E1,1.201876402E0,6.530000305E1,1.799999952E0,1.069999981E1
6.410798349E1,6.222256500E1,2.577141167E1,9.539110725E1,1.202391148E0,5.929000092E1,1.799999952E0,1.080000019E1
6.510798349E1,6.222257167E1,2.577143500E1,9.529111292E1,1.207538366E0,6.844000244E1,1.799999952E0,1.080000019E1
6.610798349E1,6.222257333E1,2.577146167E1,9.509111587E1,1.234818578E0,7.633000183E1,1.700000048E0,1.080000019E1
6.710798349E1,6.222257500E1,2.577148500E1,9.489111857E1,1.243054152E0,7.268000031E1,1.600000024E0,1.089999962E1
6.810798349E1,6.222257667E1,2.577150833E1,9.479112127E1,1.255407453E0,7.176999664E1,1.600000024E0,1.100000000E1
6.910798349E1,6.222258000E1,2.577153000E1,9.479112483E1,1.262098908E0,6.274000168E1,1.600000024E0,1.130000019E1
7.010798349E1,6.222258167E1,2.577155333E1,9.459112753E1,1.277540565E0,7.895999908E1,1.600000024E0,1.110000038E1
7.110798349E1,6.222258333E1,2.577157500E1,9.419113011E1,1.292982221E0,7.222000122E1,1.600000024E0,1.089999962E1
7.210798349E1,6.222258500E1,2.577159667E1,9.399113269E1,1.300188303E0,7.694000244E1,1.500000000E0,1.069999981E1
7.310798349E1,6.222258667E1,2.577161500E1,9.379113502E1,1.307394385E0,7.870999908E1,1.600000024E0,1.100000000E1
7.410798349E1,6.222259000E1,2.577163000E1,9.359113810E1,1.319233060E0,7.294000244E1,1.700000048E0,1.139999962E1
7.510798349E1,6.222259000E1,2.577165000E1,9.279113956E1,1.276511073E0,6.780999756E1,1.700000048E0,1.160000038E1
7.610798349E1,6.222259167E1,2.577166333E1,9.219114153E1,1.245113015E0,6.544000244E1,1.700000048E0,1.169999981E1
7.710798349E1,6.222259333E1,2.577167667E1,9.139114350E1,1.222980022E0,7.644000244E1,1.600000024E0,1.119999981E1
7.810798349E1,6.222259833E1,2.577169000E1,9.079114745E1,1.205479503E0,5.697999954E1,1.700000048E0,1.080000019E1
7.910798349E1,6.222260500E1,2.577170000E1,9.039115214E1,1.172022462E0,5.833000183E1,1.700000048E0,1.089999962E1
8.010798349E1,6.222261000E1,2.577171333E1,9.009115609E1,1.132903576E0,6.855999756E1,1.700000048E0,1.069999981E1
8.110798349E1,6.222261333E1,2.577173333E1,8.959115953E1,1.116432548E0,7.208999634E1,1.700000048E0,1.089999962E1
8.210798349E1,6.222261667E1,2.577175000E1,8.899116274E1,1.109226346E0,7.234999847E1,1.700000048E0,1.100000000E1
8.310798349E1,6.222262333E1,2.577177000E1,8.849116816E1,1.091211081E0,5.711999893E1,1.700000048E0,1.100000000E1
8.410798349E1,6.222263000E1,2.577178833E1,8.789117347E1,1.070107460E0,5.734999847E1,1.700000048E0,1.119999981E1
8.510798349E1,6.222263833E1,2.577180667E1,8.749117976E1,1.104593873E0,5.920999908E1,1.600000024E0,1.080000019E1
8.610798349E1,6.222264333E1,2.577182833E1,8.709118432E1,1.113858938E0,5.743000031E1,1.600000024E0,1.069999981E1
8.710798349E1,6.222265000E1,2.577185167E1,8.679118999E1,1.109741092E0,6.775000000E1,1.600000024E0,1.039999962E1
8.810798349E1,6.222265667E1,2.577187500E1,8.669119566E1,1.110770583E0,5.924000168E1,1.600000024E0,1.060000038E1
8.910798349E1,6.222266000E1,2.577189833E1,8.629119935E1,1.126726985E0,5.224000168E1,1.700000048E0,1.080000019E1
9.010798349E1,6.222266667E1,2.577191667E1,8.629120465E1,1.134962559E0,4.679000092E1,1.700000048E0,1.069999981E1
9.110798349E1,6.222267333E1,2.577193167E1,8.629120971E1,1.135991931E0,4.275000000E1,1.700000048E0,1.069999981E1
9.210798349E1,6.222268000E1,2.577195000E1,8.599121501E1,1.113344193E0,5.308000183E1,1.700000048E0,1.060000038E1
9.310798349E1,6.222268333E1,2.577196500E1,8.569121809E1,1.089666963E0,6.911000061E1,1.700000048E0,1.060000038E1
9.410798349E1,6.222269167E1,2.577197833E1,8.519122402E1,1.062386632E0,4.811999893E1,1.700000048E0,1.080000019E1
9.510798349E1,6.222269500E1,2.577199167E1,8.449122698E1,1.033562183E0,4.695000076E1,1.700000048E0,1.039999962E1
9.610798349E1,6.222270333E1,2.577200667E1,8.419123303E1,1.017605782E0,3.922999954E1,1.700000048E0,1.060000038E1
9.710798349E1,6.222271167E1,2.577201500E1,8.409123859E1,1.017091155E0,3.311999893E1,1.799999952E0,1.080000019E1
9.810798349E1,6.222271833E1,2.577202000E1,8.419124292E1,1.028414965E0,2.379999924E1,1.799999952E0,1.069999981E1
9.910798349E1,6.222272500E1,2.577202500E1,8.469124724E1,1.024811983E0,1.564000034E1,1.700000048E0,1.019999981E1
1.001079835E2,6.222273500E1,2.577203167E1,8.499125367E1,1.010914445E0,3.034000015E1,1.700000048E0,1.010000038E1
1.011079835E2,6.222274167E1,2.577203500E1,8.549125788E1,9.995905757E-1,2.942000008E1,1.700000048E0,1.010000038E1
1.021079835E2,6.222275167E1,2.577204333E1,8.519126443E1,1.009370327E0,1.894000053E1,1.700000048E0,1.019999981E1
1.031079835E2,6.222275667E1,2.577204667E1,8.509126764E1,1.033047557E0,2.355999947E1,1.700000048E0,9.899999619E0
1.041079835E2,6.222276333E1,2.577205000E1,8.509127185E1,1.042827249E0,2.470000076E1,1.700000048E0,1.000000000E1
1.051079835E2,6.222277000E1,2.577205500E1,8.519127618E1,1.031503320E0,2.150000000E1,1.700000048E0,9.699999809E0
1.061079835E2,6.222277667E1,2.577206167E1,8.489128063E1,1.025841355E0,1.787999916E1,1.700000048E0,9.199999809E0
1.071079835E2,6.222278500E1,2.577206667E1,8.459128594E1,1.021208882E0,3.501499939E2,1.700000048E0,9.399999619E0
